lor_nr,lor_name,bezirk,prognoseraum,bezirksregion,wert,rang,schicht,dezwert,kind_wand,arb_los,alg_eins,hartz4,jug_hartz4,grundsich,alt_arm,,fruehtod,raucher_krebs,,,
04030930,George-Grosz-Platz,Charlottenburg-Wilmersdorf,CW3,Kurfürstendamm,"0,8781",96,2,"23,0","-5,61","6,57","2,07","4,51","3,02","0,35","4,54",,"0,049","0,027",,,
04030931,Breitscheidplatz,Charlottenburg-Wilmersdorf,CW3,Kurfürstendamm,"0,6623",119,2,"28,5","-19,59","8,06","1,99","6,06","3,09","0,50","4,03",,"0,042","0,031",,,
04031032,Halensee,Charlottenburg-Wilmersdorf,CW4,Halensee,"0,5039",137,3,"32,9","-2,38","9,34","2,68","6,65","3,49","0,45","4,32",,"0,061","0,032",,,
04041133,Güterbahnhof Grunewald,Charlottenburg-Wilmersdorf,CW4,Grunewald,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,
04041134,Bismarckallee,Charlottenburg-Wilmersdorf,CW4,Grunewald,"1,1772",57,1,"13,7","1,20","5,06","1,69","3,37","2,68","0,45","2,74",,"0,061","0,037",,,
04041135,Hundekehle,Charlottenburg-Wilmersdorf,CW4,Grunewald,"1,6131",9,1,"2,2","14,85","2,98","1,58","1,40","0,00","0,63","0,98",,"0,057","0,029",,,
04041136,Hagenplatz,Charlottenburg-Wilmersdorf,CW4,Grunewald,"1,6214",8,1,"1,9","5,22","3,55","1,41","2,14","2,86","0,41","0,74",,"0,045","0,017",,,
04041137,Flinsberger Platz,Charlottenburg-Wilmersdorf,CW4,Grunewald,"0,5561",131,3,"31,4","-5,90","8,65","1,88","6,78","5,50","0,44","2,72",,"0,062","0,041",,,
04041238,Kissinger Straße,Charlottenburg-Wilmersdorf,CW4,Schmargendorf,"0,7747",104,2,"24,9","5,10","7,57","2,42","5,16","2,91","0,23","1,71",,"0,079","0,031",,,
04041239,Stadion Wilmersdorf,Charlottenburg-Wilmersdorf,CW4,Schmargendorf,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,
04041240,Messelpark,Charlottenburg-Wilmersdorf,CW4,Schmargendorf,"1,6593",3,1,"0,7","12,00","3,72","2,55","1,17","0,00","0,00","0,88",,"0,062","0,029",,,
04041241,Breite Straße,Charlottenburg-Wilmersdorf,CW4,Schmargendorf,"1,0229",76,2,"18,2","1,75","7,04","2,66","4,37","1,09","0,31","2,22",,"0,055","0,029",,,
04041342,Schlangenbader Straße,Charlottenburg-Wilmersdorf,CW4,Wiesbadener Straße,"0,2527",182,4,"43,6","3,13","11,17","2,97","8,20","5,79","1,05","4,89",,"0,050","0,029",,,
04041343,Binger Straße,Charlottenburg-Wilmersdorf,CW4,Wiesbadener Straße,"0,8116",100,2,"24,0","-5,30","8,27","2,54","5,72","4,40","0,57","4,88",,"0,050","0,019",,,
04041344,Rüdesheimer Platz,Charlottenburg-Wilmersdorf,CW4,Wiesbadener Straße,"0,6639",118,2,"28,3","2,78","8,04","2,54","5,50","2,70","0,52","2,28",,"0,059","0,035",,,
04051445,Eisenzahnstraße,Charlottenburg-Wilmersdorf,CW5,Düsseldorfer Straße,"0,3409",169,3,"40,5","-7,14","9,96","2,46","7,51","4,14","0,37","3,60",,"0,047","0,047",,,
04051446,Preußenpark,Charlottenburg-Wilmersdorf,CW5,Düsseldorfer Straße,"0,6135",123,3,"29,5","0,51","8,29","2,47","5,82","2,32","0,36","3,54",,"0,052","0,035",,,
04051447,Ludwigkirchplatz,Charlottenburg-Wilmersdorf,CW5,Düsseldorfer Straße,"0,3584",166,3,"39,8","0,44","9,88","2,75","7,13","3,21","0,53","3,68",,"0,051","0,032",,,
04051448,Schaperstraße,Charlottenburg-Wilmersdorf,CW5,Barstraße,"0,4196",152,3,"36,5","-4,38","9,04","2,26","6,78","4,63","0,46","5,14",,"0,074","0,034",,,
04051549,Rathaus Wilmersdorf,Charlottenburg-Wilmersdorf,CW5,Barstraße,"0,0404",216,4,"51,8","-6,10","10,55","2,94","7,61","3,63","0,48","3,91",,"0,056","0,045",,,
04051550,Leon-Jessel-Platz,Charlottenburg-Wilmersdorf,CW5,Barstraße,"0,4470",146,3,"35,0","1,85","9,02","2,34","6,68","4,58","0,43","5,53",,"0,061","0,024",,,
04051551,Brabanter Platz,Charlottenburg-Wilmersdorf,CW5,Volkspark Wilmersdorf,"0,0387",218,4,"52,3","2,59","10,50","2,30","8,20","4,34","0,54","5,10",,"0,059","0,057",,,
04051652,Nikolsburger Platz,Charlottenburg-Wilmersdorf,CW5,Volkspark Wilmersdorf,"0,6905",115,2,"27,6","0,53","8,43","2,27","6,16","3,31","0,52","4,75",,"0,048","0,024",,,
04051653,Prager Platz,Charlottenburg-Wilmersdorf,CW5,Volkspark Wilmersdorf,"0,4340",148,3,"35,5","-0,86","8,74","2,72","6,02","3,36","0,58","4,78",,"0,058","0,034",,,
04051654,Wilhelmsaue,Charlottenburg-Wilmersdorf,CW5,Volkspark Wilmersdorf,"0,3127",173,3,"41,5","-12,20","10,58","2,90","7,68","3,47","0,61","2,77",,"0,052","0,034",,,
04051655,Babelsberger Straße,Charlottenburg-Wilmersdorf,CW5,Volkspark Wilmersdorf,"-0,0458",227,4,"54,4","-5,67","10,39","2,56","7,83","5,99","0,84","6,58",,"0,068","0,029",,,
04051656,Hildegardstraße,Charlottenburg-Wilmersdorf,CW5,Volkspark Wilmersdorf,"0,3997",156,3,"37,4","-0,27","8,88","2,49","6,40","4,81","0,36","3,31",,"0,040","0,045",,,
04061757,Forst Grunewald,Charlottenburg-Wilmersdorf,CW6,Forst Grunewald,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,
05010101,Hakenfelde Nord,Spandau,SPA 1,Hakenfelde,"-0,1050",240,5,"57,6","2,28","10,45","3,59","6,87","2,21","0,69","1,43",,"0,091","0,028",,,
05010102,Goltzstraße,Spandau,SPA 1,Hakenfelde,"0,0494",214,4,"51,3","2,19","11,87","3,10","8,78","3,85","1,00","2,58",,"0,065","0,035",,,
05010103,Amorbacher Weg,Spandau,SPA 1,Hakenfelde,"0,4866",139,3,"33,3","4,98","9,10","2,80","6,30","1,83","1,20","2,33",,"0,070","0,030",,,
05010204,Griesingerstr.,Spandau,SPA 1,Falkenhagener Feld,"-1,0082",347,6,"83,2","3,82","16,18","2,63","13,55","3,09","1,54","6,32",,"0,144","0,033",,,
05010205,An der Tränke,Spandau,SPA 1,Falkenhagener Feld,"1,4578",28,1,"6,7","12,75","4,00","2,47","1,53","0,00","0,16","1,55",,"0,055","0,021",,,
05010206,Gütersloher Weg,Spandau,SPA 1,Falkenhagener Feld,"-0,5442",294,5,"70,5","-1,76","13,52","3,12","10,40","2,85","0,98","4,84",,"0,100","0,040",,,
05010207,Darbystr.,Spandau,SPA 1,Falkenhagener Feld,"-1,1857",363,7,"87,1","5,89","17,67","2,38","15,29","3,62","1,83","7,65",,"0,089","0,041",,,
05010208,Germersheimer Platz,Spandau,SPA 1,Falkenhagener Feld,"-1,0599",357,6,"85,6","-8,77","16,18","2,81","13,38","5,93","1,32","3,74",,"0,096","0,056",,,
05010209,An der Kappe,Spandau,SPA 1,Falkenhagener Feld,"0,6319",121,3,"29,0","0,43","7,72","2,80","4,91","1,56","0,44","1,52",,"0,068","0,038",,,
05010310,Eckschanze,Spandau,SPA 1,Spandau Mitte,"-0,8840",330,6,"79,1","-4,52","14,92","3,04","11,88","4,88","0,74","6,03",,"0,132","0,060",,,
05010311,Eiswerder,Spandau,SPA 1,Spandau Mitte,"-1,5492",379,7,"90,9","-6,67","19,24","2,48","16,76","5,71","0,91","3,82",,"0,090","0,045",,,
05010312,Kurstr.,Spandau,SPA 1,Spandau Mitte,"-1,4435",376,7,"90,2","-3,13","19,49","2,50","16,98","3,65","1,00","8,17",,"0,109","0,029",,,
05010313,Ackerstr.,Spandau,SPA 1,Spandau Mitte,"-0,7893",320,6,"76,7","5,09","15,47","2,98","12,49","4,37","0,69","5,31",,"0,091","0,046",,,
05010314,Carl-Schurz-Str.,Spandau,SPA 1,Spandau Mitte,"-0,6248",306,6,"73,4","-2,98","15,10","2,96","12,14","5,24","0,87","5,28",,"0,079","0,035",,,
05010339,Freiheit,Spandau,SPA 2,Spandau Mitte,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,
05020415,Isenburger Weg,Spandau,SPA 2,Brunsbütteler Damm,"1,5138",18,1,"4,3","10,87","4,40","2,83","1,57","0,00","0,12","0,90",,"0,032","0,013",,,
05020416,Am Heideberg,Spandau,SPA 2,Brunsbütteler Damm,"0,7784",103,2,"24,7","1,59","7,50","2,88","4,62","0,00","0,18","1,26",,"0,085","0,051",,,
05020417,Staakener Str.,Spandau,SPA 2,Brunsbütteler Damm,"0,9001",92,2,"22,1","-0,84","7,73","2,67","5,06","2,55","0,16","0,53",,"0,050","0,030",,,
05020418,Spandauer Str.,Spandau,SPA 2,Brunsbütteler Damm,"0,2371",185,4,"44,4","-2,19","10,61","3,02","7,59","2,64","0,42","1,77",,"0,060","0,042",,,
05020419,Magistratsweg,Spandau,SPA 2,Brunsbütteler Damm,"-0,4227",280,5,"67,1","2,95","14,53","3,17","11,36","3,79","0,66","3,67",,"0,073","0,035",,,
05020420,Werkstr.,Spandau,SPA 2,Brunsbütteler Damm,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,
05020521,Döberitzer Weg,Spandau,SPA 2,Heerstraße Nord,"0,3891",159,3,"38,1","10,98","8,55","3,30","5,25","2,29","0,13","1,91",,"0,056","0,040",,,
05020522,Pillnitzer Weg,Spandau,SPA 2,Heerstraße Nord,"-1,1729",361,7,"86,6","0,00","18,07","2,52","15,54","3,79","1,17","7,04",,"0,105","0,049",,,
05020523,Maulbeerallee,Spandau,SPA 2,Heerstraße Nord,"-1,7194",389,7,"93,3","2,34","19,33","2,41","16,92","4,51","1,46","8,29",,"0,094","0,044",,,
05020524,Weinmeisterhornweg,Spandau,SPA 2,Heerstraße Nord,"0,8848",95,2,"22,8","4,00","6,97","3,17","3,80","1,12","0,37","2,05",,"0,044","0,034",,,
05020625,Borkumer Str.,Spandau,SPA 2,Wilhelmstadt,"-0,4069",276,5,"66,2","-7,50","13,62","2,81","10,81","4,09","0,52","4,75",,"0,084","0,046",,,
05020626,Adamstr.,Spandau,SPA 2,Wilhelmstadt,"-0,5977",301,6,"72,2","-7,29","14,08","3,14","10,93","3,99","0,71","4,48",,"0,100","0,043",,,
05020627,Tiefenwerder,Spandau,SPA 2,Wilhelmstadt,"-0,8312",323,6,"77,5","-6,22","13,84","2,49","11,35","3,37","1,41","5,23",,"0,096","0,059",,,
05020628,Graetschelsteig,Spandau,SPA 2,Wilhelmstadt,"-0,2933",265,5,"63,5","0,00","11,90","3,47","8,43","4,28","0,69","1,53",,"0,139","0,041",,,
05020629,Börnicker Str.,Spandau,SPA 2,Wilhelmstadt,"1,4755",24,1,"5,8","11,11","4,96","2,65","2,32","0,93","0,27","0,81",,"0,040","0,034",,,
05030730,Zitadellenweg,Spandau,SPA 3,Haselhorst,"-0,2037",252,5,"60,4","5,81","11,43","3,73","7,70","1,78","0,58","3,50",,"0,077","0,033",,,
05030731,Gartenfelder Str.,Spandau,SPA 3,Haselhorst,"-0,7242",316,6,"75,8","-3,26","15,98","3,42","12,55","4,25","0,82","3,68",,"0,086","0,038",,,
05030832,Rohrdamm,Spandau,SPA 3,Siemensstadt,"-0,0870",236,4,"56,6","-0,19","11,76","3,49","8,27","2,20","0,57","3,22",,"0,066","0,024",,,
05030833,Motardstr.,Spandau,SPA 3,Siemensstadt,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,
05040934,Alt-Gatow,Spandau,SPA 4,Gatow / Kladow,"1,5439",15,1,"3,6","10,07","4,19","2,94","1,25","0,00","0,23","0,50",,"0,043","0,019",,,
05040935,Groß-Glienicker Weg,Spandau,SPA 4,Gatow / Kladow,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,
05040936,Jägerallee,Spandau,SPA 4,Gatow / Kladow,"1,6281",7,1,"1,7","11,03","3,65","2,32","1,33","0,81","0,10","0,50",,"0,038","0,024",,,
05040937,Kladower Damm,Spandau,SPA 4,Gatow / Kladow,"1,6456",5,1,"1,2","2,60","3,20","1,48","1,72","0,00","0,25","0,17",,"0,087","0,029",,,
05040938,Kafkastr.,Spandau,SPA 4,Gatow / Kladow,"1,5847",10,1,"2,4","13,87","4,27","2,64","1,63","1,08","0,18","0,00",,"0,067","0,023",,,
06010101,Fichtenberg,Steglitz-Zehlendorf,Region A,Schloßstraße,"1,4338",34,1,"8,2","6,21","4,08","1,35","2,73","1,52","0,18","1,17",,"0,046","0,029",,,
06010102,Schloßstr.,Steglitz-Zehlendorf,Region A,Schloßstraße,"0,5074",136,3,"32,6","-6,22","7,61","2,10","5,51","3,40","0,48","5,37",,"0,033","0,040",,,
06010103,Markelstr.,Steglitz-Zehlendorf,Region A,Schloßstraße,"0,4311",149,3,"35,7","-0,29","7,82","1,78","6,04","4,53","0,49","3,23",,"0,075","0,044",,,
06010204,Munsterdamm,Steglitz-Zehlendorf,Region A,Albrechtstraße,"0,1997",191,4,"45,8","3,77","8,87","2,19","6,69","4,21","0,66","2,82",,"0,085","0,042",,,
06010205,Südende,Steglitz-Zehlendorf,Region A,Albrechtstraße,"0,4222",151,3,"36,2","-6,28","9,10","2,08","7,01","3,68","0,51","3,77",,"0,051","0,040",,,
06010206,Stadtpark,Steglitz-Zehlendorf,Region A,Albrechtstraße,"0,4623",143,3,"34,3","0,00","8,11","1,82","6,28","6,42","0,95","3,80",,"0,044","0,027",,,
06010207,Mittelstr.,Steglitz-Zehlendorf,Region A,Albrechtstraße,"0,3524",167,3,"40,0","1,62","9,23","2,09","7,14","6,20","0,53","3,05",,"0,052","0,032",,,
06010208,Bergstr.,Steglitz-Zehlendorf,Region A,Albrechtstraße,"0,3975",158,3,"37,9","-1,14","9,09","2,28","6,81","4,46","0,39","4,85",,"0,062","0,038",,,
06010209,Feuerbachstr.,Steglitz-Zehlendorf,Region A,Albrechtstraße,"0,2775",179,3,"42,9","1,39","9,01","2,03","6,98","5,66","0,36","3,98",,"0,079","0,050",,,
06010210,Bismarckstr.,Steglitz-Zehlendorf,Region A,Albrechtstraße,"-0,0384",225,4,"54,0","-2,35","10,44","2,15","8,29","6,29","1,00","4,81",,"0,081","0,043",,,
06020301,Alt-Lankwitz,Steglitz-Zehlendorf,Region B,Lankwitz,"0,3718",162,3,"38,8","3,79","8,58","2,57","6,00","3,30","0,87","2,77",,"0,067","0,042",,,
06020302,Komponistenviertel Lankwitz,Steglitz-Zehlendorf,Region B,Lankwitz,"0,9547",86,2,"20,6","-5,53","5,74","1,62","4,12","2,30","0,45","1,13",,"0,077","0,024",,,
06020303,Lankwitz-Kirche,Steglitz-Zehlendorf,Region B,Lankwitz,"0,0778",209,4,"50,1","0,71","11,22","2,27","8,95","6,90","0,37","2,53",,"0,067","0,041",,,
06020304,Kaiser-Wilhelm-Str.,Steglitz-Zehlendorf,Region B,Lankwitz,"0,2284",188,4,"45,1","2,58","10,85","2,23","8,62","6,52","0,57","2,28",,"0,062","0,041",,,
06020305,Gemeindepark Lankwitz,Steglitz-Zehlendorf,Region B,Lankwitz,"0,1060",207,4,"49,6","2,14","10,00","2,07","7,93","4,82","1,02","5,18",,"0,091","0,039",,,
06020306,Lankwitz-Süd,Steglitz-Zehlendorf,Region B,Lankwitz,"0,9184",89,2,"21,3","-2,97","7,02","2,49","4,54","3,01","0,33","2,57",,"0,037","0,028",,,
06020407,Thermometersiedlung,Steglitz-Zehlendorf,Region B,Ostpreußendamm,"-0,7784",319,6,"76,5","5,63","14,62","2,90","11,72","7,98","0,74","5,75",,"0,101","0,035",,,
06020408,Lichterfelde-Süd,Steglitz-Zehlendorf,Region B,Ostpreußendamm,"0,4586",144,3,"34,5","-2,68","8,21","1,66","6,55","4,41","0,67","4,13",,"0,072","0,045",,,
06020409,Königsberger Str.,Steglitz-Zehlendorf,Region B,Ostpreußendamm,"0,7125",111,2,"26,6","3,30","7,24","2,10","5,14","3,14","0,47","1,61",,"0,067","0,040",,,
06020410,Oberhofer Platz,Steglitz-Zehlendorf,Region B,Ostpreußendamm,"1,1886",56,1,"13,4","5,53","5,29","2,11","3,18","2,06","0,49","2,39",,"0,045","0,037",,,
06020411,Schütte-Lanz-Str.,Steglitz-Zehlendorf,Region B,Ostpreußendamm,"0,6839",116,2,"27,8","2,18","7,37","2,45","4,92","2,88","0,51","2,20",,"0,036","0,039",,,
06030501,Berlepschstr.,Steglitz-Zehlendorf,Region C,Teltower Damm,"1,3678",40,1,"9,6","10,70","4,61","1,76","2,85","2,36","0,26","0,13",,"0,041","0,033",,,
06030502,Zehlendorf-Süd,Steglitz-Zehlendorf,Region C,Teltower Damm,"0,1602",198,4,"47,5","-5,45","10,66","2,42","8,25","4,50","0,55","3,38",,"0,080","0,039",,,
06030503,Zehlendorf-Mitte,Steglitz-Zehlendorf,Region C,Teltower Damm,"0,9698",83,2,"19,9","3,23","6,33","1,89","4,44","2,71","0,48","2,80",,"0,051","0,027",,,
06030504,Teltower Damm,Steglitz-Zehlendorf,Region C,Teltower Damm,"1,3783",38,1,"9,1","1,31","4,14","1,90","2,24","1,25","0,45","1,06",,"0,042","0,032",,,
06030605,Botanischer Garten,Steglitz-Zehlendorf,Region C,Drakestraße,"0,9602",85,2,"20,4","-1,72","5,90","1,73","4,17","4,53","0,24","2,30",,"0,064","0,027",,,
06030606,Hindenburgdamm,Steglitz-Zehlendorf,Region C,Drakestraße,"0,4158",153,3,"36,7","-1,17","9,81","2,02","7,79","5,18","0,49","2,33",,"0,050","0,033",,,
06030607,Goerzwerke,Steglitz-Zehlendorf,Region C,Drakestraße,"1,1385",63,2,"15,1","0,00","4,17","1,13","3,05","1,05","0,10","1,46",,"0,094","0,033",,,
06030608,Schweizer Viertel,Steglitz-Zehlendorf,Region C,Drakestraße,"1,5674",12,1,"2,9","9,42","4,01","1,60","2,41","1,67","0,15","1,27",,"0,032","0,031",,,
06030609,Augustaplatz,Steglitz-Zehlendorf,Region C,Drakestraße,"1,0111",78,2,"18,7","0,73","6,29","2,03","4,26","3,14","0,29","1,71",,"0,044","0,028",,,
06030610,Lichterfelde-West,Steglitz-Zehlendorf,Region C,Drakestraße,"1,3855",37,1,"8,9","10,29","4,76","1,69","3,07","1,78","0,16","1,69",,"0,046","0,018",,,
06040701,Wannsee,Steglitz-Zehlendorf,Region D,Zehlendorf Südwest,"1,5327",17,1,"4,1","7,48","3,65","1,86","1,79","1,56","0,13","1,33",,"0,044","0,026",,,
06040702,Düppel,Steglitz-Zehlendorf,Region D,Zehlendorf Südwest,"1,4995",20,1,"4,8","5,59","3,37","1,52","1,85","1,65","0,26","0,85",,"0,040","0,017",,,
06040703,Nikolassee,Steglitz-Zehlendorf,Region D,Zehlendorf Südwest,"1,4865",22,1,"5,3","6,20","3,44","1,32","2,12","0,90","0,17","1,21",,"0,046","0,031",,,
06040804,Krumme Lanke,Steglitz-Zehlendorf,Region D,Zehlendorf Nord,"1,7120",1,1,"0,2","2,62","2,52","1,43","1,09","0,00","0,23","1,07",,"0,032","0,030",,,
06040805,Fischerhüttenstr.,Steglitz-Zehlendorf,Region D,Zehlendorf Nord,"1,5562",14,1,"3,4","3,45","4,45","1,87","2,58","0,00","0,22","1,34",,"0,055","0,012",,,
06040806,Fischtal,Steglitz-Zehlendorf,Region D,Zehlendorf Nord,"1,4081",35,1,"8,4","4,45","4,40","2,06","2,34","0,89","0,48","2,06",,"0,025","0,026",,,
06040807,Zehlendorf-Eiche,Steglitz-Zehlendorf,Region D,Zehlendorf Nord,"1,1990",55,1,"13,2","12,75","5,07","1,30","3,77","2,50","0,58","1,64",,"0,047","0,027",,,
06040808,Hüttenweg,Steglitz-Zehlendorf,Region D,Zehlendorf Nord,"0,9422",87,2,"20,9","-0,84","4,64","1,93","2,71","1,67","0,17","1,37",,"0,050","0,041",,,
06040809,Thielallee,Steglitz-Zehlendorf,Region D,Zehlendorf Nord,"1,6585",4,1,"1,0","4,30","2,15","1,06","1,09","1,08","0,26","1,35",,"0,052","0,019",,,
06040810,Dahlem,Steglitz-Zehlendorf,Region D,Zehlendorf Nord,"1,6848",2,1,"0,5","9,83","2,70","1,30","1,40","0,95","0,08","0,56",,"0,049","0,021",,,
07010101,Wittenbergpl./Vikt.-Luise-Pl.,Tempelhof-Schöneberg,Schöneberg,Schöneberg,"0,2358",186,4,"44,6","-1,46","9,72","2,23","7,49","5,44","1,17","6,88",,"0,085","0,025",,,
07010102,Nollendorfplatz,Tempelhof-Schöneberg,Schöneberg,Schöneberg,"-0,6966",313,6,"75,1","-0,49","12,05","1,87","10,18","6,27","1,50","15,96",,"0,081","0,032",,,
07010103,Barbarossaplatz,Tempelhof-Schöneberg,Schöneberg,Schöneberg,"0,3179",172,3,"41,2","0,38","8,89","2,01","6,88","4,06","0,72","5,62",,"0,049","0,037",,,
07010104,Dennewitzplatz,Tempelhof-Schöneberg,Schöneberg,Schöneberg,"-1,3485",373,7,"89,4","-2,52","14,99","1,87","13,12","6,68","1,43","22,03",,"0,075","0,041",,,
07020201,Bayerischer Platz,Tempelhof-Schöneberg,Schöneberg-Süd,Schöneberg-Süd,"0,3890",160,3,"38,4","-4,61","8,47","2,34","6,13","4,00","0,70","4,67",,"0,048","0,034",,,
07020202,Volkspark (Rud.-Wilde-Park),Tempelhof-Schöneberg,Schöneberg-Süd,Schöneberg-Süd,"-0,1864",249,5,"59,7","-3,36","9,90","1,95","7,95","5,07","0,78","5,80",,"0,076","0,051",,,
07020203,Kaiser-Wilhelm-Platz,Tempelhof-Schöneberg,Schöneberg-Süd,Schöneberg-Süd,"-0,5912",300,6,"71,9","-6,63","11,74","2,10","9,63","6,64","1,32","10,35",,"0,084","0,044",,,
07020204,Schöneberger Insel,Tempelhof-Schöneberg,Schöneberg-Süd,Schöneberg-Süd,"-0,1938",251,5,"60,2","-7,67","10,66","2,12","8,54","5,20","0,86","7,32",,"0,070","0,025",,,
07030301,Friedenau,Tempelhof-Schöneberg,Friedenau,Friedenau,"0,9368",88,2,"21,1","-2,09","5,83","2,02","3,81","1,99","0,49","3,22",,"0,057","0,034",,,
07030302,Ceciliengärten,Tempelhof-Schöneberg,Friedenau,Friedenau,"0,7089",112,2,"26,9","2,46","7,19","1,98","5,21","2,31","0,37","3,22",,"0,059","0,030",,,
07030303,Grazer Platz,Tempelhof-Schöneberg,Friedenau,Friedenau,"-0,4101",277,5,"66,4","-9,01","12,54","2,16","10,37","5,69","0,73","5,02",,"0,064","0,039",,,
07040401,Neu-Tempelhof,Tempelhof-Schöneberg,Tempelhof,Tempelhof,"0,1211",203,4,"48,7","3,22","10,72","2,36","8,36","5,63","0,84","3,08",,"0,068","0,043",,,
07040402,Lindenhofsiedlung,Tempelhof-Schöneberg,Tempelhof,Tempelhof,"-0,1640",247,5,"59,2","2,94","12,76","2,58","10,18","4,49","0,73","3,81",,"0,109","0,042",,,
07040403,Manteuffelstr.,Tempelhof-Schöneberg,Tempelhof,Tempelhof,"-0,1416",243,5,"58,3","-3,82","10,84","2,26","8,57","5,09","0,55","3,67",,"0,085","0,045",,,
07040404,Marienhöhe,Tempelhof-Schöneberg,Tempelhof,Tempelhof,"0,2731",180,4,"43,2","0,47","9,53","2,35","7,18","3,42","0,41","3,91",,"0,067","0,035",,,
07040405,Rathaus Tempelhof,Tempelhof-Schöneberg,Tempelhof,Tempelhof,"-0,1628",246,5,"59,0","-1,05","11,77","2,26","9,52","6,02","0,85","3,42",,"0,057","0,039",,,
07040406,Germaniagarten,Tempelhof-Schöneberg,Tempelhof,Tempelhof,"-1,8605",398,7,"95,4","-6,12","20,43","1,52","18,91","12,92","1,75","10,38",,"0,143","0,053",,,
07050501,Rathausstr.,Tempelhof-Schöneberg,Mariendorf,Mariendorf,"-0,2099",254,5,"60,9","-2,32","11,76","2,30","9,46","6,38","0,71","4,21",,"0,078","0,040",,,
07050502,Fritz-Werner-Str.,Tempelhof-Schöneberg,Mariendorf,Mariendorf,"0,1073",206,4,"49,4","-2,66","10,30","2,37","7,93","4,57","0,73","1,37",,"0,074","0,041",,,
07050503,Eisenacher Str.,Tempelhof-Schöneberg,Mariendorf,Mariendorf,"0,1148",205,4,"49,2","-4,01","10,84","2,32","8,52","4,73","0,95","2,33",,"0,050","0,037",,,
07050504,Imbrosweg,Tempelhof-Schöneberg,Mariendorf,Mariendorf,"-0,2568",258,5,"61,9","-4,57","12,89","2,37","10,52","4,50","0,97","3,58",,"0,062","0,036",,,
07050505,Hundsteinweg,Tempelhof-Schöneberg,Mariendorf,Mariendorf,"0,5741",129,3,"30,9","4,40","7,90","2,38","5,52","2,43","0,35","2,50",,"0,060","0,038",,,
07050506,Birnhornweg,Tempelhof-Schöneberg,Mariendorf,Mariendorf,"1,1553",59,1,"14,1","-2,60","5,10","3,05","2,05","2,69","0,15","0,61",,"0,043","0,041",,,
07060601,Marienfelder Allee Nordwest,Tempelhof-Schöneberg,Marienfelde,Marienfelde,"-0,0656",233,4,"55,9","-0,47","12,04","2,53","9,51","4,30","0,74","4,36",,"0,043","0,027",,,
07060602,Kirchstr.,Tempelhof-Schöneberg,Marienfelde,Marienfelde,"1,0727",72,2,"17,3","1,81","6,05","2,15","3,90","2,00","0,29","1,09",,"0,054","0,034",,,
07060603,Marienfelde Nordost,Tempelhof-Schöneberg,Marienfelde,Marienfelde,"0,0761",210,4,"50,4","-3,77","8,27","3,02","5,25","4,21","0,25","0,72",,"0,078","0,038",,,
07060604,Marienfelde Süd,Tempelhof-Schöneberg,Marienfelde,Marienfelde,"-0,3556",273,5,"65,5","0,99","13,40","2,87","10,53","5,35","0,64","4,00",,"0,067","0,040",,,
07070701,Kettinger Str./Schillerstr.,Tempelhof-Schöneberg,Lichtenrade,Lichtenrade,"0,8860",94,2,"22,5","1,60","6,53","2,50","4,03","2,63","0,34","1,24",,"0,034","0,036",,,
07070702,Alt-Lichtenrade/Töpch. Weg,Tempelhof-Schöneberg,Lichtenrade,Lichtenrade,"0,5719",130,3,"31,2","6,83","7,58","2,53","5,05","2,59","0,64","1,93",,"0,072","0,039",,,
07070703,John-Locke-Str.,Tempelhof-Schöneberg,Lichtenrade,Lichtenrade,"-0,1308",242,5,"58,0","4,70","11,62","2,57","9,05","4,67","1,03","3,68",,"0,090","0,039",,,
07070704,Nahariyastr.,Tempelhof-Schöneberg,Lichtenrade,Lichtenrade,"-0,5117",289,5,"69,3","-3,34","13,70","2,46","11,24","5,64","0,55","7,01",,"0,066","0,035",,,
07070705,Franziusweg/ Rohrbachstr.,Tempelhof-Schöneberg,Lichtenrade,Lichtenrade,"1,0850",70,2,"16,8","0,28","5,57","2,14","3,44","1,81","0,42","0,99",,"0,054","0,028",,,
07070706,Horstwald. Str./Paplitzer Str.,Tempelhof-Schöneberg,Lichtenrade,Lichtenrade,"0,9670",84,2,"20,1","2,81","5,94","2,20","3,74","1,37","0,23","1,46",,"0,048","0,044",,,
07070707,Wittelsbacherstr.,Tempelhof-Schöneberg,Lichtenrade,Lichtenrade,"1,4477",30,1,"7,2","3,64","3,94","1,76","2,18","0,00","0,00","0,98",,"0,051","0,041",,,
08010115,Hasenheide,Neukölln,Neukölln,Schillerpromenade,x,x,x,x,x,x,x,x,x,x,x,,x,x,,,
08010116,Wissmannstraße,Neukölln,Neukölln,Schillerpromenade,"-1,9338",403,7,"96,6","-4,17","17,95","2,07","15,87","12,56","1,66","22,78",,"0,098","0,061",,,
08010117,Schillerpromenade,Neukölln,Neukölln,Schillerpromenade,"-1,8546",397,7,"95,2","-9,29","18,63","1,84","16,79","10,46","1,02","12,24",,"0,106","0,054",,,
